batch_size,sequence_length,model_dimension,precision,is_causal,device,O_diff_l2,O_diff_max,K_grad_diff_l2_rel,K_grad_diff_max,V_grad_diff_l2_rel,V_grad_diff_max,Q_grad_diff_l2_rel,Q_grad_diff_max
1,4096,32,torch.float16,True,cuda,0.0062107820995152,0.0005069971084594727,0.00014984607696533203,0.00390625,8.26120376586914e-05,0.00390625,0.0003380775451660156,0.0009765625
1,4096,32,torch.float16,False,cuda,0.0026713251136243343,6.814301013946533e-05,0.00012034177780151367,0.0009765625,5.614757537841797e-05,0.0009765625,0.0003509521484375,0.0001220703125
1,4096,32,torch.float32,True,cuda,0.033219657838344574,0.003242969512939453,0.0018056855769827962,0.00914907455444336,0.0004312648088671267,0.007944107055664062,0.001863711979240179,0.002564549446105957
1,4096,32,torch.float32,False,cuda,0.015819581225514412,0.0004283636808395386,0.0018325790297240019,0.004728436470031738,0.0004237548273522407,0.0017887353897094727,0.0020680460147559643,0.0007293373346328735
1,4096,128,torch.bfloat16,True,cuda,0.09872274100780487,0.00488734245300293,0.00167083740234375,0.015625,0.00063323974609375,0.03125,0.002593994140625,0.0078125
1,4096,128,torch.bfloat16,False,cuda,0.04280100017786026,0.00040155649185180664,0.00130462646484375,0.00390625,0.000385284423828125,0.0078125,0.00262451171875,0.0009765625
1,4096,128,torch.float16,True,cuda,0.01249738596379757,0.0005553960800170898,0.00021588802337646484,0.001953125,7.37905502319336e-05,0.00390625,0.00034737586975097656,0.001953125
1,4096,128,torch.float16,False,cuda,0.005324285943061113,5.0649046897888184e-05,0.00016498565673828125,0.0009765625,5.894899368286133e-05,0.0009765625,0.00032329559326171875,0.0001220703125
1,4096,128,torch.float32,True,cuda,0.06685985624790192,0.0029327869415283203,0.00175673165358603,0.007393360137939453,0.00038480828516185284,0.004555702209472656,0.0017093245405703783,0.002639293670654297
1,4096,128,torch.float32,False,cuda,0.030326321721076965,0.0004256144165992737,0.0018115115817636251,0.0025632381439208984,0.00037635042099282146,0.0009666681289672852,0.0018974433187395334,0.0006060600280761719
1,8192,32,torch.bfloat16,True,cuda,0.054056886583566666,0.004339337348937988,0.00098419189453125,0.03125,0.0003795623779296875,0.015625,0.0026702880859375,0.0078125
1,8192,32,torch.bfloat16,False,cuda,0.02155098132789135,0.00031910091638565063,0.000797271728515625,0.0078125,0.000377655029296875,0.0078125,0.0026397705078125,0.0009765625
1,8192,32,torch.float16,True,cuda,0.006908097304403782,0.0009100437164306641,0.0001392364501953125,0.00390625,8.755922317504883e-05,0.00390625,0.00033545494079589844,0.00048828125
1,8192,32,torch.float16,False,cuda,0.002704082289710641,4.382431507110596e-05,9.959936141967773e-05,0.0009765625,5.161762237548828e-05,0.0009765625,0.0003235340118408203,6.103515625e-05
1,8192,32,torch.float32,True,cuda,0.035294193774461746,0.00194549560546875,0.0018168401438742876,0.016597270965576172,0.0004476749454624951,0.007088661193847656,0.0018449253402650356,0.0021927356719970703
1,8192,32,torch.float32,False,cuda,0.01596836745738983,0.0005903095006942749,0.001817407668568194,0.005012035369873047,0.0004360602470114827,0.0030475854873657227,0.002090445253998041,0.0008435249328613281
1,8192,128,torch.bfloat16,True,cuda,0.1086067259311676,0.005671262741088867,0.00140380859375,0.015625,0.000415802001953125,0.03125,0.0026092529296875,0.00390625
1,8192,128,torch.bfloat16,False,cuda,0.04311646893620491,0.00031062960624694824,0.0010986328125,0.00390625,0.0003604888916015625,0.0078125,0.0025482177734375,0.00048828125
1,8192,128,torch.float16,True,cuda,0.013141458854079247,0.0005508661270141602,0.00017452239990234375,0.001953125,9.79304313659668e-05,0.00390625,0.0003306865692138672,0.00048828125
1,8192,128,torch.float16,False,cuda,0.005545482505112886,3.947317600250244e-05,0.00014090538024902344,0.00048828125,3.808736801147461e-05,0.0009765625,0.00032711029052734375,6.103515625e-05
1,8192,128,torch.float32,True,cuda,0.0680377185344696,0.0019276142120361328,0.0017695039277896285,0.006643056869506836,0.0003961892507504672,0.004326820373535156,0.001772489515133202,0.0025916099548339844
1,8192,128,torch.float32,False,cuda,0.030663860961794853,0.0002694353461265564,0.0018037209520116448,0.0026700496673583984,0.00038517851498909295,0.001034379005432129,0.0019696252420544624,0.0005486160516738892
3,256,32,torch.bfloat16,True,cuda,0.06461275368928909,0.00496363639831543,0.0020294189453125,0.015625,0.000881195068359375,0.015625,0.0025482177734375,0.0078125
3,256,32,torch.bfloat16,False,cuda,0.03314971178770065,0.0012109577655792236,0.00180816650390625,0.0078125,0.001007080078125,0.0078125,0.002685546875,0.00390625
3,256,32,torch.float16,True,cuda,0.008005895651876926,0.0008995532989501953,0.00023829936981201172,0.001953125,0.00011861324310302734,0.001953125,0.0003440380096435547,0.0009765625
3,256,32,torch.float16,False,cuda,0.004182304721325636,0.0001653432846069336,0.00023043155670166016,0.0009765625,0.00010460615158081055,0.0009765625,0.0003364086151123047,0.00048828125
3,256,32,torch.float32,True,cuda,0.038034480065107346,0.0028246641159057617,0.0016158620128408074,0.006494045257568359,0.0004159146919846535,0.0036773681640625,0.001537750824354589,0.0029001235961914062
3,256,32,torch.float32,False,cuda,0.024325277656316757,0.002277195453643799,0.0017901483224704862,0.0072078704833984375,0.00043649753206409514,0.0019273757934570312,0.0018314355984330177,0.00356370210647583
